Industry Name,Number of Firms,Dividends in $ millions,Buybacks in $ millions,Equity Issuance in $ millions,Net Equity Change  in $ millions,Net Equity Change as % of Book Equity,Debt Repaid  in $ millions,Debt Raised in $ millions,Net Debt Change in $ millions,Net Change in Debt as % of Total Debt,Change in Lease Debt  in $ millions,Number of firms_x,Gross Margin,Net Margin,"Pre-tax, Pre-stock compensation Operating Margin",Pre-tax Unadjusted Operating Margin,After-tax Unadjusted Operating Margin,Pre-tax Lease adjusted Margin,After-tax Lease Adjusted Margin,Pre-tax Lease & R&D adj Margin,After-tax Lease & R&D adj Margin,EBITDA/Sales,EBITDASG&A/Sales,EBITDAR&D/Sales,COGS/Sales,R&D/Sales,SG&A/ Sales,Stock-Based Compensation/Sales,Lease Expense/Sales,Number of firms_y,Acc Rec/ Sales,Inventory/Sales,Acc Pay/ Sales,Non-cash WC/ Sales
Electronics (Consumer & Office),13,0.0,193.63,36.461,-157.169,-0.052920459,397.182,379.297,-17.885,-0.023463092,74.41,13,0.32,-0.03,0.03,0.0,0.0,0.0,0.0,0.01,0.01,0.04,0.26,0.13,0.68,0.09,0.23,0.03,0.01,13,0.122486593,0.168182221,0.112657396,0.155335427
Electronics (General),129,1831.58,3764.32,1103.577,-2660.743,-0.036458479,18464.186,19394.996,930.81,0.021908233,643.669,129,0.27,0.05,0.11,0.09,0.09,0.1,0.09,0.1,0.09,0.15,0.27,0.2,0.73,0.05,0.13,0.01,0.01,129,0.169237425,0.180674321,0.119003843,0.240139866
Engineering/Construction,43,492.601,1980.478,999.825,-980.653,-0.027661452,36877.771,37854.438,976.667,0.032810484,2554.816,77,0.2,0.06,0.11,0.1,0.09,0.11,0.09,0.11,0.09,0.1,0.18,0.12,0.8,0.02,0.08,0.0,0.01,43,0.273885191,0.018002383,0.0966689,0.189248858
Entertainment,98,1492.31436,5833.545,511.1,-5322.445,-0.026881123,27061.97,18662.649,-8399.321,-0.05579813,21600.871,98,0.38,0.0,0.09,0.07,0.07,0.07,0.07,0.07,0.07,0.14,0.34,0.17,0.62,0.03,0.21,0.02,0.04,98,0.102874215,0.02204576,0.082142852,0.038054347
Environmental & Waste Services,57,2133.7,2222.383,649.506,-1572.877,-0.056290187,61460.123,65807.336,4347.213,0.103764302,2131.026,57,0.35,0.08,0.14,0.14,0.13,0.14,0.13,0.14,0.13,0.2,0.34,0.21,0.65,0.0,0.14,0.01,0.02,57,0.161023953,0.016083582,0.073244194,0.101805916
Farming/Agriculture,42,3212.82,9424.438,180.218,-9244.22,-0.137188538,48098.441,59882.17,11783.729,0.130650731,1617.869,42,0.16,0.07,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.11,0.16,0.12,0.84,0.01,0.05,0.0,0.01,42,0.079492976,0.13740553,0.064047246,0.147225005
Financial Svcs. (Non-bank & Insurance),172,22615.112,54711.026,2466.999,-52244.027,-0.143656413,1803565.009,1592262.345,-211302.664,-0.026101428,510.252,192,0.66,0.15,0.18,0.16,0.14,0.16,0.14,0.16,0.14,0.21,0.49,0.23,0.34,0.02,0.28,0.02,0.01,172,14.57816999,0.004322387,1.767873353,13.07969871
Food Processing,82,11853.45,5461.523,565.967,-4895.556,-0.028664917,34111.417,37464.558,3353.141,0.025713982,3372.819,93,0.24,0.05,0.11,0.1,0.1,0.11,0.1,0.11,0.1,0.14,0.27,0.15,0.76,0.01,0.13,0.0,0.02,82,0.077003046,0.127384174,0.120375099,0.060076717
Food Wholesalers,14,1054.3,748.82,153.655,-595.165,-0.045485776,8945.27,7521.89,-1423.38,-0.057238841,1101.869,14,0.15,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.15,0.03,0.85,0.0,0.12,0.0,0.0,14,0.054217058,0.064888277,0.062572395,0.057756763
Furn/Home Furnishings,31,1579.4912,219.766,97.051,-122.715,-0.005919142,29119.931,31070.062,1950.131,0.107148613,653.397,31,0.26,-0.02,0.07,0.06,0.05,0.06,0.05,0.06,0.05,0.1,0.29,0.12,0.74,0.02,0.19,0.01,0.02,31,0.124239631,0.165634831,0.125007842,0.139737695
Green & Renewable Energy,17,284.2,5.267,426.258,420.991,0.040474455,5357.01,6326.374,969.364,0.030163187,88.875,17,0.62,0.15,0.24,0.23,0.22,0.22,0.21,0.22,0.21,0.54,0.65,0.54,0.38,0.0,0.11,0.01,0.01,17,0.316671599,0.03581045,0.144705971,-0.279816255
